title,douban_link
蜡笔小新：呐喊！春日部野生王国 映画クレヨンしんちゃん　オタケベ！カスカベ野生王国,https://movie.douban.com/subject/3732550/
乐园追放 楽園追放,https://movie.douban.com/subject/10558440/
银之匙 銀の匙,https://movie.douban.com/subject/20491392/
西行纪,https://movie.douban.com/subject/27148208/
JOJO的奇妙冒险 石之海 Part.3 ジョジョの奇妙な冒険 ストーンオーシャン 第3クール,https://movie.douban.com/subject/36056267/
超时空要塞 可曾记得爱 超時空要塞マクロス 愛・おぼえていますか,https://movie.douban.com/subject/1427266/
红发少女安妮 赤毛のアン,https://movie.douban.com/subject/2309883/
飞天小女警 第一季 The Powerpuff Girls Season 1,https://movie.douban.com/subject/2147055/
四驱兄弟 爆走兄弟レッツ&ゴー!!,https://movie.douban.com/subject/2990287/
青春猪头少年不会梦到红书包女孩 青春ブタ野郎はランドセルガールの夢を見ない,https://movie.douban.com/subject/36441528/
秦时明月之万里长城,https://movie.douban.com/subject/5951340/
蜡笔小新：呼唤传说！跳吧！朋友！ クレヨンしんちゃん 伝説を呼ぶ 踊れ!アミーゴ!,https://movie.douban.com/subject/3044673/
鬼灭之刃 鼓屋敷篇 鬼滅の刃 鼓屋敷編,https://movie.douban.com/subject/35651911/
我让最想被拥抱的男人给威胁了：西班牙篇 劇場版 抱かれたい男1位に脅されています。～スペイン編～,https://movie.douban.com/subject/35440052/
北极百货店的接待员 北極百貨店のコンシェルジュさん,https://movie.douban.com/subject/36381756/
文豪野犬 第二季 文豪ストレイドッグス 第2シーズン,https://movie.douban.com/subject/26881134/
3月的狮子 3月のライオン,https://movie.douban.com/subject/26615510/
野良神 第2季 ノラガミ ARAGOTO,https://movie.douban.com/subject/26357796/
蜡笔小新：呼唤传说！三分钟嘎巴大进攻 伝説を呼ぶ ブリブリ３分ポッキリ大进撃,https://movie.douban.com/subject/3056455/
白兔糖 うさぎドロップ,https://movie.douban.com/subject/5908516/
末日时在做什么？有没有空？可以来拯救吗？ 終末なにしてますか？忙しいですか？救ってもらっていいですか？,https://movie.douban.com/subject/26829746/
凡人修仙传：初入星海,https://movie.douban.com/subject/36017435/
最终幻想：灵魂深处 Final Fantasy: The Spirits Within,https://movie.douban.com/subject/1304602/
青春之旅 アオハライド,https://movie.douban.com/subject/25807372/
新世纪福音战士剧场版：复兴 新世紀エヴァンゲリオン劇場版 DEATH(TRUE)²/Air/まごころを、君に,https://movie.douban.com/subject/20458867/
马丁的早晨,https://movie.douban.com/subject/3632505/
刀剑神域进击篇：暮色黄昏 劇場版 ソードアート・オンライン プログレッシブ 冥き夕闇のスケルツォ,https://movie.douban.com/subject/35652451/
超超超超超喜欢你的100个女朋友 君のことが大大大大大好きな100人の彼女,https://movie.douban.com/subject/35427282/
枕刀歌 第二季,https://movie.douban.com/subject/35639345/
镇魂街 第三季,https://movie.douban.com/subject/36140705/
海贼王剧场版6：狂欢男爵和神秘岛 ONE PIECE THE MOVIE オマツリ男爵と秘密の島,https://movie.douban.com/subject/3263410/
穿书自救指南 第一季,https://movie.douban.com/subject/27015853/
蜡笔小新：宇宙人来袭！！ クレヨンしんちゃん 襲来!!宇宙人シリリ,https://movie.douban.com/subject/26894593/
画江湖之不良人2,https://movie.douban.com/subject/26803835/
斗破苍穹 第一季,https://movie.douban.com/subject/26884429/
鸭乃桥论的禁忌推理 鴨乃橋ロンの禁断推理,https://movie.douban.com/subject/36163226/
超时空要塞Macross 超時空要塞マクロス,https://movie.douban.com/subject/2058467/
西行纪之再见悟空,https://movie.douban.com/subject/35034171/
范马刃牙VS拳愿阿修罗 範馬刃牙VSケンガンアシュラ,https://movie.douban.com/subject/36824372/
江南,https://movie.douban.com/subject/33479277/
哑舍,https://movie.douban.com/subject/36053650/
ALDNOAH.ZERO アルドノア・ゼロ,https://movie.douban.com/subject/25831658/
伊藤润二狂热：日本恐怖故事 伊藤潤二『マニアック』,https://movie.douban.com/subject/35925201/
命运/奇异赝品 黎明低语 Fate/strange Fake Whispers of Dawn,https://movie.douban.com/subject/36099457/
无职转生Ⅱ 到了异世界就拿出真本事 Part.1 無職転生Ⅱ ～異世界行ったら本気だす～,https://movie.douban.com/subject/35460731/
黑礁 Black Lagoon,https://movie.douban.com/subject/2036289/
搞笑漫画日和 ギャグマンガ日和,https://movie.douban.com/subject/2249531/
恶魔城 第一季 Castlevania Season 1,https://movie.douban.com/subject/26982974/
果宝特攻,https://movie.douban.com/subject/4840353/
物理魔法使马修 マッシュル-MASHLE-,https://movie.douban.com/subject/35952106/
恶魔的破坏 前篇 デッドデッドデーモンズデデデデデストラクション 前編,https://movie.douban.com/subject/36539416/
蝴蝶梦：梁山伯与祝英台 蝴蝶夢－梁山伯與祝英台,https://movie.douban.com/subject/2978752/
超兽武装之勇者无惧,https://movie.douban.com/subject/10728463/
神之塔 第二季 神之塔 -Tower of God- 2nd Season,https://movie.douban.com/subject/36053315/
哆啦A梦 ドラえもん,https://movie.douban.com/subject/3538051/
亚人 亜人,https://movie.douban.com/subject/26608268/
凉宫春日的忧郁2009 涼宮ハルヒの憂鬱2009,https://movie.douban.com/subject/21348026/
时光沙漏 フラグタイム,https://movie.douban.com/subject/32492219/
百变的七仓同学 疑似ハーレム,https://movie.douban.com/subject/36300825/
花开伊吕波 花咲くいろは,https://movie.douban.com/subject/4935090/
鸭乃桥论的禁忌推理 第二季 鴨乃橋ロンの禁断推理 2nd Season,https://movie.douban.com/subject/36701921/
冰上的尤里 第二季 ユーリ!!! on ICE 2,https://movie.douban.com/subject/27017358/
哆啦A梦：大雄与云之国 ドラえもん のび太と雲の王国,https://movie.douban.com/subject/1458900/
